open,high,low,close,volume,time,oi,time_str
65.0,69.75,58.3,58.3,101300,2024-09-02 09:15:00,5462150,2024-09-02T09:15:00+05:30
63.95,66.6,63.75,66.6,100600,2024-09-02 09:15:05,5462150,2024-09-02T09:15:05+05:30
68.2,69.5,68.2,69.5,59375,2024-09-02 09:15:10,5462150,2024-09-02T09:15:10+05:30
68.3,71.55,68.3,71.55,79375,2024-09-02 09:15:15,5462150,2024-09-02T09:15:15+05:30
71.15,71.2,70.8,70.85,75625,2024-09-02 09:15:20,5462150,2024-09-02T09:15:20+05:30
71.85,73.8,71.85,73.7,86625,2024-09-02 09:15:25,5462150,2024-09-02T09:15:25+05:30
72.95,74.45,72.75,74.0,86900,2024-09-02 09:15:30,5515025,2024-09-02T09:15:30+05:30
75.2,75.9,74.0,74.0,68125,2024-09-02 09:15:35,5515025,2024-09-02T09:15:35+05:30
74.0,74.0,71.75,71.75,65100,2024-09-02 09:15:40,5515025,2024-09-02T09:15:40+05:30
71.25,71.25,69.6,69.6,56875,2024-09-02 09:15:45,5515025,2024-09-02T09:15:45+05:30
69.65,70.5,69.65,70.5,44275,2024-09-02 09:15:50,5515025,2024-09-02T09:15:50+05:30
70.1,70.65,70.1,70.5,49175,2024-09-02 09:15:55,5515025,2024-09-02T09:15:55+05:30
69.9,69.9,67.6,68.55,99525,2024-09-02 09:16:00,5515025,2024-09-02T09:16:00+05:30
68.4,68.5,67.45,68.5,38050,2024-09-02 09:16:05,5515025,2024-09-02T09:16:05+05:30
68.1,69.15,67.6,69.15,45350,2024-09-02 09:16:10,5515025,2024-09-02T09:16:10+05:30
68.75,69.5,68.75,69.5,34850,2024-09-02 09:16:15,5515025,2024-09-02T09:16:15+05:30
70.0,70.6,70.0,70.6,48050,2024-09-02 09:16:20,5515025,2024-09-02T09:16:20+05:30
70.6,71.4,70.55,71.4,24700,2024-09-02 09:16:25,5515025,2024-09-02T09:16:25+05:30
71.25,72.15,71.15,72.15,46775,2024-09-02 09:16:30,5515025,2024-09-02T09:16:30+05:30
71.8,72.0,70.75,70.75,36100,2024-09-02 09:16:35,5515025,2024-09-02T09:16:35+05:30
70.65,71.15,70.45,71.15,36000,2024-09-02 09:16:40,5515025,2024-09-02T09:16:40+05:30
71.15,72.0,71.15,71.2,28350,2024-09-02 09:16:45,5515025,2024-09-02T09:16:45+05:30
71.45,71.5,70.75,71.5,33325,2024-09-02 09:16:50,5515025,2024-09-02T09:16:50+05:30
71.15,71.15,70.7,70.7,16500,2024-09-02 09:16:55,5515025,2024-09-02T09:16:55+05:30
70.25,70.25,69.2,69.8,56275,2024-09-02 09:17:00,5515025,2024-09-02T09:17:00+05:30
70.35,70.35,69.5,69.5,17875,2024-09-02 09:17:05,5515025,2024-09-02T09:17:05+05:30
69.45,69.9,69.3,69.35,26450,2024-09-02 09:17:10,5515025,2024-09-02T09:17:10+05:30
69.3,69.4,68.9,69.4,30575,2024-09-02 09:17:15,5515025,2024-09-02T09:17:15+05:30
69.5,70.35,69.4,70.35,20625,2024-09-02 09:17:20,5515025,2024-09-02T09:17:20+05:30
70.15,70.2,69.7,69.75,21250,2024-09-02 09:17:25,5515025,2024-09-02T09:17:25+05:30
69.95,70.0,69.8,69.8,40875,2024-09-02 09:17:30,5515025,2024-09-02T09:17:30+05:30
69.55,70.0,69.55,70.0,25950,2024-09-02 09:17:35,5515025,2024-09-02T09:17:35+05:30
69.75,70.1,69.75,70.1,17250,2024-09-02 09:17:40,5515025,2024-09-02T09:17:40+05:30
69.9,70.5,69.9,70.0,16425,2024-09-02 09:17:45,5515025,2024-09-02T09:17:45+05:30
70.65,70.65,70.15,70.15,30575,2024-09-02 09:17:50,5515025,2024-09-02T09:17:50+05:30
70.5,70.5,70.2,70.4,29225,2024-09-02 09:17:55,5515025,2024-09-02T09:17:55+05:30
69.95,69.95,68.15,68.15,58025,2024-09-02 09:18:00,5515025,2024-09-02T09:18:00+05:30
68.8,68.8,68.0,68.0,30150,2024-09-02 09:18:05,5515025,2024-09-02T09:18:05+05:30
68.55,68.6,68.2,68.6,25775,2024-09-02 09:18:10,5515025,2024-09-02T09:18:10+05:30
69.2,69.2,68.95,68.95,13900,2024-09-02 09:18:15,5515025,2024-09-02T09:18:15+05:30
69.4,69.4,68.9,69.05,19975,2024-09-02 09:18:20,5515025,2024-09-02T09:18:20+05:30
68.85,69.2,68.35,69.2,20125,2024-09-02 09:18:25,5515025,2024-09-02T09:18:25+05:30
69.1,70.05,69.1,70.05,45050,2024-09-02 09:18:30,5865725,2024-09-02T09:18:30+05:30
70.5,70.5,69.0,69.1,25350,2024-09-02 09:18:35,5865725,2024-09-02T09:18:35+05:30
69.05,69.05,68.6,68.6,18175,2024-09-02 09:18:40,5865725,2024-09-02T09:18:40+05:30
68.4,68.65,68.3,68.3,39625,2024-09-02 09:18:45,5865725,2024-09-02T09:18:45+05:30
68.7,68.75,68.2,68.2,77075,2024-09-02 09:18:50,5865725,2024-09-02T09:18:50+05:30
68.3,68.75,68.15,68.75,33050,2024-09-02 09:18:55,5865725,2024-09-02T09:18:55+05:30
68.8,68.8,68.2,68.45,44625,2024-09-02 09:19:00,5865725,2024-09-02T09:19:00+05:30
68.3,68.35,67.8,67.85,25825,2024-09-02 09:19:05,5865725,2024-09-02T09:19:05+05:30
67.75,67.85,67.75,67.85,24600,2024-09-02 09:19:10,5865725,2024-09-02T09:19:10+05:30
67.75,67.75,66.75,66.75,41650,2024-09-02 09:19:15,5865725,2024-09-02T09:19:15+05:30
67.4,67.6,66.75,66.85,18425,2024-09-02 09:19:20,5865725,2024-09-02T09:19:20+05:30
66.8,67.2,66.8,66.95,20350,2024-09-02 09:19:25,5865725,2024-09-02T09:19:25+05:30
67.1,67.5,67.05,67.05,30275,2024-09-02 09:19:30,5865725,2024-09-02T09:19:30+05:30
67.4,67.5,66.75,66.75,18725,2024-09-02 09:19:35,5865725,2024-09-02T09:19:35+05:30
66.5,66.7,66.5,66.7,34275,2024-09-02 09:19:40,5865725,2024-09-02T09:19:40+05:30
66.35,66.6,65.85,66.6,63075,2024-09-02 09:19:45,5865725,2024-09-02T09:19:45+05:30
66.7,66.8,66.3,66.8,18775,2024-09-02 09:19:50,5865725,2024-09-02T09:19:50+05:30
67.3,67.3,66.75,66.75,17675,2024-09-02 09:19:55,5865725,2024-09-02T09:19:55+05:30
66.25,68.95,66.2,67.8,102050,2024-09-02 09:20:00,5865725,2024-09-02T09:20:00+05:30
68.1,68.55,68.0,68.55,39700,2024-09-02 09:20:05,5865725,2024-09-02T09:20:05+05:30
68.35,68.35,68.0,68.35,34250,2024-09-02 09:20:10,5865725,2024-09-02T09:20:10+05:30
69.4,70.3,69.4,69.65,61775,2024-09-02 09:20:15,5865725,2024-09-02T09:20:15+05:30
68.9,68.9,68.4,68.85,47050,2024-09-02 09:20:20,5865725,2024-09-02T09:20:20+05:30
68.65,68.65,68.2,68.4,31975,2024-09-02 09:20:25,5865725,2024-09-02T09:20:25+05:30
68.45,68.45,68.0,68.15,44225,2024-09-02 09:20:30,5865725,2024-09-02T09:20:30+05:30
68.0,68.0,67.9,68.0,33900,2024-09-02 09:20:35,5865725,2024-09-02T09:20:35+05:30
68.4,68.4,68.3,68.3,25075,2024-09-02 09:20:40,5865725,2024-09-02T09:20:40+05:30
68.0,68.95,68.0,68.25,20350,2024-09-02 09:20:45,5865725,2024-09-02T09:20:45+05:30
68.5,68.8,68.5,68.8,11925,2024-09-02 09:20:50,5865725,2024-09-02T09:20:50+05:30
68.7,68.8,68.5,68.8,20175,2024-09-02 09:20:55,5865725,2024-09-02T09:20:55+05:30
68.3,68.7,68.2,68.7,39350,2024-09-02 09:21:00,5865725,2024-09-02T09:21:00+05:30
68.5,68.5,68.0,68.0,41750,2024-09-02 09:21:05,5865725,2024-09-02T09:21:05+05:30
68.45,68.8,67.9,67.9,35775,2024-09-02 09:21:10,5865725,2024-09-02T09:21:10+05:30
67.7,67.7,66.6,66.6,43625,2024-09-02 09:21:15,5865725,2024-09-02T09:21:15+05:30
66.35,66.35,66.1,66.15,36400,2024-09-02 09:21:20,5865725,2024-09-02T09:21:20+05:30
66.1,66.1,65.55,65.55,40000,2024-09-02 09:21:25,5865725,2024-09-02T09:21:25+05:30
66.45,66.6,66.15,66.3,30575,2024-09-02 09:21:30,6184775,2024-09-02T09:21:30+05:30
66.3,66.4,65.5,66.4,19625,2024-09-02 09:21:35,6184775,2024-09-02T09:21:35+05:30
66.45,67.0,66.35,66.35,24550,2024-09-02 09:21:40,6184775,2024-09-02T09:21:40+05:30
66.65,66.85,66.15,66.15,26175,2024-09-02 09:21:45,6184775,2024-09-02T09:21:45+05:30
65.95,66.4,65.85,65.85,17150,2024-09-02 09:21:50,6184775,2024-09-02T09:21:50+05:30
66.3,66.3,66.25,66.3,11100,2024-09-02 09:21:55,6184775,2024-09-02T09:21:55+05:30
66.25,66.6,66.25,66.35,19150,2024-09-02 09:22:00,6184775,2024-09-02T09:22:00+05:30
66.45,67.5,66.25,67.05,39800,2024-09-02 09:22:05,6184775,2024-09-02T09:22:05+05:30
66.95,67.35,66.75,67.35,13850,2024-09-02 09:22:10,6184775,2024-09-02T09:22:10+05:30
67.05,67.15,66.9,67.1,23150,2024-09-02 09:22:15,6184775,2024-09-02T09:22:15+05:30
67.4,67.4,67.15,67.4,15875,2024-09-02 09:22:20,6184775,2024-09-02T09:22:20+05:30
67.45,67.6,67.1,67.15,27450,2024-09-02 09:22:25,6184775,2024-09-02T09:22:25+05:30
67.0,67.05,66.8,66.9,15375,2024-09-02 09:22:30,6184775,2024-09-02T09:22:30+05:30
66.8,66.8,65.7,65.8,32150,2024-09-02 09:22:35,6184775,2024-09-02T09:22:35+05:30
65.9,65.9,65.15,65.4,25800,2024-09-02 09:22:40,6184775,2024-09-02T09:22:40+05:30
65.1,65.3,65.0,65.0,46350,2024-09-02 09:22:45,6184775,2024-09-02T09:22:45+05:30
64.85,66.0,64.75,65.85,22375,2024-09-02 09:22:50,6184775,2024-09-02T09:22:50+05:30
65.9,65.9,65.7,65.7,8525,2024-09-02 09:22:55,6184775,2024-09-02T09:22:55+05:30
66.5,66.5,65.2,65.35,62425,2024-09-02 09:23:00,6184775,2024-09-02T09:23:00+05:30
