open,high,low,close,volume,time,oi,time_str
60.1,77.0,60.1,75.7,41300,2024-09-03 09:15:00,4205850,2024-09-03T09:15:00+05:30
79.75,79.75,76.8,76.8,50700,2024-09-03 09:15:05,4205850,2024-09-03T09:15:05+05:30
78.25,79.0,78.25,79.0,62750,2024-09-03 09:15:10,4205850,2024-09-03T09:15:10+05:30
79.95,81.15,79.2,81.15,67200,2024-09-03 09:15:15,4205850,2024-09-03T09:15:15+05:30
80.05,80.95,79.25,80.5,96850,2024-09-03 09:15:20,4205850,2024-09-03T09:15:20+05:30
79.9,81.15,79.9,80.6,49000,2024-09-03 09:15:25,4205850,2024-09-03T09:15:25+05:30
80.45,80.6,79.55,79.55,60375,2024-09-03 09:15:30,4205850,2024-09-03T09:15:30+05:30
78.65,78.65,77.2,77.9,80225,2024-09-03 09:15:35,4336225,2024-09-03T09:15:35+05:30
78.25,79.35,77.95,77.95,46900,2024-09-03 09:15:40,4336225,2024-09-03T09:15:40+05:30
77.55,78.45,77.55,78.45,55000,2024-09-03 09:15:45,4336225,2024-09-03T09:15:45+05:30
78.3,79.0,78.3,78.8,44400,2024-09-03 09:15:50,4336225,2024-09-03T09:15:50+05:30
78.4,78.65,77.5,77.9,51025,2024-09-03 09:15:55,4336225,2024-09-03T09:15:55+05:30
77.0,77.0,74.5,74.5,55375,2024-09-03 09:16:00,4336225,2024-09-03T09:16:00+05:30
73.75,75.45,73.5,75.45,46100,2024-09-03 09:16:05,4336225,2024-09-03T09:16:05+05:30
74.0,74.5,73.3,73.3,42075,2024-09-03 09:16:10,4336225,2024-09-03T09:16:10+05:30
74.0,74.35,73.9,73.9,41525,2024-09-03 09:16:15,4336225,2024-09-03T09:16:15+05:30
73.5,73.5,72.6,72.6,41400,2024-09-03 09:16:20,4336225,2024-09-03T09:16:20+05:30
72.5,72.5,71.95,71.95,37400,2024-09-03 09:16:25,4336225,2024-09-03T09:16:25+05:30
71.4,71.85,71.4,71.4,52075,2024-09-03 09:16:30,4336225,2024-09-03T09:16:30+05:30
71.65,71.65,71.25,71.45,23950,2024-09-03 09:16:35,4336225,2024-09-03T09:16:35+05:30
71.6,73.65,71.6,72.75,36275,2024-09-03 09:16:40,4336225,2024-09-03T09:16:40+05:30
72.8,72.95,72.05,72.05,16175,2024-09-03 09:16:45,4336225,2024-09-03T09:16:45+05:30
71.9,72.25,71.9,72.0,36225,2024-09-03 09:16:50,4336225,2024-09-03T09:16:50+05:30
72.35,72.65,72.1,72.65,25600,2024-09-03 09:16:55,4336225,2024-09-03T09:16:55+05:30
72.4,72.65,70.5,70.5,48775,2024-09-03 09:17:00,4336225,2024-09-03T09:17:00+05:30
70.35,70.35,69.25,69.25,49200,2024-09-03 09:17:05,4336225,2024-09-03T09:17:05+05:30
69.25,70.35,69.2,69.6,58350,2024-09-03 09:17:10,4336225,2024-09-03T09:17:10+05:30
69.65,70.3,69.0,70.3,23650,2024-09-03 09:17:15,4336225,2024-09-03T09:17:15+05:30
69.9,69.9,69.5,69.5,28350,2024-09-03 09:17:20,4336225,2024-09-03T09:17:20+05:30
71.3,71.3,70.25,70.75,24700,2024-09-03 09:17:25,4336225,2024-09-03T09:17:25+05:30
